"Hostname","IP","Timestamp","OS","OS Version","MAC Address","Received Bytes","Transmited Bytes","Total Flows","Received Packets","Transmited Packets"
"OpenCart_Prod","192.168.32.200","2020-03-31T00:00:00.000Z","CentOS","7.6","00:50:56:a4:06:dd","2543136","3878724","2316","24705","36437"
"sql1","192.168.32.232","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:cc:35","54609958","54486310","33039","539638","496838"
"","192.168.32.250","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"Invoice_Prod","192.168.32.201","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:dd:34","2527686","3874673","2311","24678","36386"
"sql2","192.168.32.233","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:38:3e","50272955","62960182","33035","473156","602623"
"","192.168.32.252","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"","192.168.32.249","2020-03-31T00:00:00.000Z","","","","836703","968179","24","4017","5315"
"","192.168.32.253","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"","192.168.32.251","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"","192.168.32.10","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"OpenCart01","192.168.32.225","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:c8:42","20033278","23355023","32042","254031","209475"
"OpenCart02","192.168.32.226","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:18:25","19021414","22865435","32055","235389","202074"
"FrontEnd-Proxy","192.168.32.223","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:2d:3f","48645942","43117434","89574","413113","572326"
"BackEnd-Proxy","192.168.32.224","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:1e:55","41838028","33320521","60802","475487","423958"
"OWA-Web","192.168.32.112","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:f5:b7","8172600","9517568","3289","82237","93953"
"lychee2","192.168.32.231","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:b8:6d","8177534","9518336","3286","82219","93947"
"ubuntu","192.168.32.102","2020-03-31T00:00:00.000Z","Ubuntu","16.04","00:50:56:a4:0b:2e","6738087","320741","1219","4973","3705"
"lychee1","192.168.32.230","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:86:a5","8176450","9520116","3298","82255","93975"
"","192.168.32.5","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"MySQL_dev","192.168.32.101","2020-03-31T00:00:00.000Z","CentOS","7.6","00:50:56:a4:9f:84","2524878","3875475","2284","24646","36354"
"","192.168.32.229","2020-03-31T00:00:00.000Z","","","","0","0","0","0","0"
"OpenCart03","192.168.32.227","2020-03-31T00:00:00.000Z","CentOS","7.7","00:50:56:a4:c8:32","19046232","22805912","32101","235646","201124"
